German word,English word,Type of change
Achsen,Tangent,Divergence
Knopf,Button,Parallel Change
Rote,Red,Parallel Change
Bube,Knave,Parallel Change
Scheide,Pussy/pussycat,Convergence
Links,Left,Parallel Change
Blau,Blue,Divergence
Maus,Mouse,Parallel Change
Frau,Mistress,Parallel Change
Folgen,Follow,Divergence
Schlachtrosz,Charger,Divergence
Plaudern,Chat,Divergence
Schrecklich,Awful,Convergence
Übertragen,Broadcast,Convergence
Schwul,Gay,Convergence
Becken,Tank,Divergence
Unsauber,Dirty,Convergence
Aufheben,Lift,Parallel Change
Faul,Foul,Divergence
Lahm,Lame,Parallel Change
Blüte,Pimple,Convergence
Raupe,Caterpillar,Parallel Change
Anzeige,Display,Divergence
Segeln,Sail,Divergence
Panzer,Tank,Convergence
Kerze/Zündkerze,Plug/Sparkplug,Parallel Change
Einspannen,Harness,Divergence
Stecker,Plug,Parallel Change
Krass,Coarse,Divergence
Macht,Power,Divergence
Anrufen,Call,Parallel Change
Welle,Wave,Parallel Change
Zeitschrift,Magazine,Divergence
Lärm,Buzz,Divergence
Stamm,Stem,Divergence
Wagen,Car,Divergence
Schläfen,Sleep,Parallel Change
Rechte,Right,Parallel Change
Komisch,Funny,Parallel Change
Eisen,Steel,Convergence
Zählen,Pay,Divergence
Zelle,Cell,Parallel Change
Kran,Crane,Parallel Change
Gras,Grass,Divergence
Stern,Star,Parallel Change
Sack,Sack,Divergence
Schlange,Line,Convergence
Leitung,Cable,Parallel Change
Strom,Current,Parallel Change
Rad,Wheel,Divergence